domain,countryCode,LON,PageViewsEnglish,birthyear,birthstate,occupation,en_curid,numlangs,birthcity,AverageViews,TotalPageViews,countryName,HPI,countryCode3,PageViewsNonEnglish,name,L_star,gender,industry,StdDevPageViews,continentName,LAT,wikiquote name
INSTITUTIONS,DK,10.748878,709995,1953,,POLITICIAN,275811,59,Ginnerup,30848.08475,1820037,DENMARK,22.51624379,DNK,1110042,Anders Fogh Rasmussen,11.42193198,Male,GOVERNMENT,14462.47393,Europe,56.410089,Anders Fogh Rasmussen
INSTITUTIONS,PK,67.01,4541941,1953,,POLITICIAN,193737,92,Karachi,74179.77174,6824539,PAKISTAN,22.90894247,PAK,2282598,Benazir Bhutto,5.609689386,Female,GOVERNMENT,57665.21331,Asia,24.86,Benazir Bhutto
INSTITUTIONS,MY,102.05,843093,1953,,POLITICIAN,523641,28,Kuala Lipis,59241.42857,1658760,MALAYSIA,19.93326917,MYS,815667,Najib Tun Razak,5.017460685,Male,GOVERNMENT,26726.46134,Asia,4.18,Najib Razak
INSTITUTIONS,CN,116.383333,1886850,1953,,POLITICIAN,2017814,55,Beijing,111665.2,6141586,China,22.28653802,CHN,4254736,Xi Jinping,6.597906315,Male,GOVERNMENT,126739.8871,Asia,39.916667,Xi Jinping
ARTS,US,-90.197778,6838584,1952,MO,ACTOR,268009,35,St. Louis,272947.4571,9553161,UNITED STATES,22.13596348,USA,2714577,John Goodman,3.228713782,Male,FILM AND THEATRE,53155.98815,North America,38.627222,John Goodman
HUMANITIES,US,-87.871111,415704,1952,IL,WRITER,16807,28,Waukegan,21751.21429,609034,UNITED STATES,20.3173264,USA,193330,Kim Stanley Robinson,4.322136185,Male,LANGUAGE,1593.039919,North America,42.370278,Kim Stanley Robinson
ARTS,US,-87.684722,7516166,1952,IL,ACTOR,19019,29,Chicago,418669.2069,12141407,UNITED STATES,23.07311494,USA,4625241,Mr. T,4.451669164,Male,FILM AND THEATRE,51514.5484,North America,41.836944,Mr. T
SCIENCE & TECHNOLOGY,US,-87.59,1245153,1952,IL,POLITICAL SCIENTIST,11194,43,Chicago,60975.23256,2621935,United States,23.2514005,USA,1376782,Francis Fukuyama,8.685455528,Male,SOCIAL SCIENCES,8015.402916,North America,41.8,Francis Fukuyama
INSTITUTIONS,HN,-85.9,526067,1952,,POLITICIAN,2316735,39,Catacamas,33608.58974,1310735,HONDURAS,20.25471288,HND,784668,Manuel Zelaya,5.866639275,Male,GOVERNMENT,28007.6665,North America,14.8,Manuel Zelaya
ARTS,US,-79.915278,5994928,1952,PA,ACTOR,21132373,40,West Homestead,215572.225,8622889,United States,22.22320501,USA,2627961,Jeff Goldblum,3.642791356,Male,FILM AND THEATRE,54888.68498,North America,40.394444,Jeff Goldblum
ARTS,CA,-75.69189,6081663,1952,,ACTOR,49650,39,Ottawa,246847.2821,9627044,Canada,23.29498362,CAN,3545381,Dan Aykroyd,4.299949153,Male,FILM AND THEATRE,32578.65023,North America,45.42144,Dan Aykroyd
